SMILES;cas.index.name;cas.rn;Parameter;Value
O=C(O)c1ccc(O)c(O)c1;Benzoic acid, 3,4-dihydroxy-;99-50-3;IC50;575 µM
CC1=CCC(O)(C(C)C)CC1;3-Cyclohexen-1-ol, 4-methyl-1-(1-methylethyl)-;562-74-3;IC50;2 × 103 µM
CC1=CCC(O)(C(C)C)CC1;3-Cyclohexen-1-ol, 4-methyl-1-(1-methylethyl)-;562-74-3;IC50;> 200 mg/L
O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21;4H-1-Benzopyran-4-one, 2,3-dihydro-5,7-dihydroxy-2-(4-hydroxyphenyl)-, (2S)-;480-41-1;IC50;63 µM
O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21;4H-1-Benzopyran-4-one, 2,3-dihydro-5,7-dihydroxy-2-(4-hydroxyphenyl)-, (2S)-;480-41-1;IC50;> 470.5 µM
O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21;4H-1-Benzopyran-4-one, 2,3-dihydro-5,7-dihydroxy-2-(4-hydroxyphenyl)-, (2S)-;480-41-1;IC50;615.17687 µM
O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12;4H-1-Benzopyran-4-one, 5,7-dihydroxy-3-(4-hydroxyphenyl)-;446-72-0;IC50;164 µM
O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12;4H-1-Benzopyran-4-one, 5,7-dihydroxy-3-(4-hydroxyphenyl)-;446-72-0;IC50;493.1738 µM
O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12;4H-1-Benzopyran-4-one, 5,7-dihydroxy-3-(4-hydroxyphenyl)-;446-72-0;IC50;50 mg/L
O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12;4H-1-Benzopyran-4-one, 5,7-dihydroxy-3-(4-hydroxyphenyl)-;446-72-0;IC50;50 mg/L
C=C(C)[C@H]1CC=C(C)CC1;Cyclohexene, 1-methyl-4-(1-methylethenyl)-, (4R)-;5989-27-5;IC50;4 × 103 µM
O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12;4H-1-Benzopyran-4-one, 7-hydroxy-3-(4-hydroxyphenyl)-;486-66-8;IC50;185.8 µM
O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12;4H-1-Benzopyran-4-one, 7-hydroxy-3-(4-hydroxyphenyl)-;486-66-8;IC50;489.77882 µM
CC(c1ccc(-c2ccccc2)c(F)c1)c1nnc(NC(=O)Nc2cccc(Cl)c2)s1;Urea, N-(3-chlorophenyl)-N′-[5-[1-(2-fluoro[1,1′-biphenyl]-4-yl)ethyl]-1,3,4-thiadiazol-2-yl]-;3056711-53-3;IC50;3.74 µM
CC(c1ccc(-c2ccccc2)c(F)c1)c1nnc(NC(=O)Nc2cccc(Cl)c2)s1;Urea, N-(3-chlorophenyl)-N′-[5-[1-(2-fluoro[1,1′-biphenyl]-4-yl)ethyl]-1,3,4-thiadiazol-2-yl]-;3056711-53-3;IC50;20 µM
CC(c1ccc(-c2ccccc2)c(F)c1)c1nnc(NC(=O)Nc2cccc(Cl)c2)s1;Urea, N-(3-chlorophenyl)-N′-[5-[1-(2-fluoro[1,1′-biphenyl]-4-yl)ethyl]-1,3,4-thiadiazol-2-yl]-;3056711-53-3;IC50;42.88 µM
CC(c1ccc(-c2ccccc2)c(F)c1)c1nnc(NC(=O)Nc2cccc(Cl)c2)s1;Urea, N-(3-chlorophenyl)-N′-[5-[1-(2-fluoro[1,1′-biphenyl]-4-yl)ethyl]-1,3,4-thiadiazol-2-yl]-;3056711-53-3;IC50;160.91 µM
O=c1c(O)c(-c2ccccc2)oc2cc(O)cc(O)c12;4H-1-Benzopyran-4-one, 3,5,7-trihydroxy-2-phenyl-;548-83-4;IC50;198.1527 µM
O=c1c(O)c(-c2ccccc2)oc2cc(O)cc(O)c12;4H-1-Benzopyran-4-one, 3,5,7-trihydroxy-2-phenyl-;548-83-4;IC50;50 mg/L
C=C1CCC2CC1C2(C)C;Bicyclo[3.1.1]heptane, 6,6-dimethyl-2-methylene-;127-91-3;IC50;> 200 mg/L
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12;Lup-20(29)-en-28-oic acid, 3-hydroxy-, (3β)-;472-15-1;IC50;28.7 µM
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12;Lup-20(29)-en-28-oic acid, 3-hydroxy-, (3β)-;472-15-1;IC50;29.5 µM
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12;Lup-20(29)-en-28-oic acid, 3-hydroxy-, (3β)-;472-15-1;IC50;30.7 µM
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12;Lup-20(29)-en-28-oic acid, 3-hydroxy-, (3β)-;472-15-1;IC50;> 40 µM
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12;Lup-20(29)-en-28-oic acid, 3-hydroxy-, (3β)-;472-15-1;IC50;> 40 µM
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12;Lup-20(29)-en-28-oic acid, 3-hydroxy-, (3β)-;472-15-1;IC50;50 mg/L
O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12;4H-1-Benzopyran-4-one, 3,5,7-trihydroxy-2-(3,4,5-trihydroxyphenyl)-;529-44-2;IC50;445.65625 µM
O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12;4H-1-Benzopyran-4-one, 3,5,7-trihydroxy-2-(3,4,5-trihydroxyphenyl)-;529-44-2;IC50;486 µM
O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12;4H-1-Benzopyran-4-one, 3,5,7-trihydroxy-2-(3,4,5-trihydroxyphenyl)-;529-44-2;IC50;50 mg/L
O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)ccc21;4H-1-Benzopyran-4-one, 2,3-dihydro-7-hydroxy-2-(4-hydroxyphenyl)-, (2S)-;578-86-9;IC50;189.2 µM
COc1ccc([C@@H]2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2)cc1O;4H-1-Benzopyran-4-one, 7-[[6-O-(6-deoxy-α-L-mannopyranosyl)-β-D-glucopyranosyl]oxy]-2,3-dihydro-5-hydroxy-2-(3-hydroxy-4-methoxyphenyl)-, (2S)-;520-26-3;IC50;1.24738 × 103 µM
O=C1c2c(O)cc(O)cc2O[C@H](c2ccc(O)c(O)c2)[C@H]1O;4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-2,3-dihydro-3,5,7-trihydroxy-, (2R,3R)-;480-18-2;IC50;2.5704 × 103 µM
C[C@@H]1O[C@@H](Oc2c(-c3cc(O)c(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@H](O)[C@H]1O;4H-1-Benzopyran-4-one, 3-[(6-deoxy-α-L-mannopyranosyl)oxy]-5,7-dihydroxy-2-(3,4,5-trihydroxyphenyl)-;17912-87-7;IC50;2.05116 × 103 µM
COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O;1,6-Heptadiene-3,5-dione, 1,7-bis(4-hydroxy-3-methoxyphenyl)-, (1E,6E)-;458-37-7;IC50;4.75 µM
COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O;1,6-Heptadiene-3,5-dione, 1,7-bis(4-hydroxy-3-methoxyphenyl)-, (1E,6E)-;458-37-7;IC50;10.5 µM
CC(c1ccc(-c2ccccc2)c(F)c1)c1nnc(NC(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)s1;Urea, N-[4-chloro-3-(trifluoromethyl)phenyl]-N′-[5-[1-(2-fluoro[1,1′-biphenyl]-4-yl)ethyl]-1,3,4-thiadiazol-2-yl]-;3056711-64-6;IC50;10.22 µM
CC(c1ccc(-c2ccccc2)c(F)c1)c1nnc(NC(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)s1;Urea, N-[4-chloro-3-(trifluoromethyl)phenyl]-N′-[5-[1-(2-fluoro[1,1′-biphenyl]-4-yl)ethyl]-1,3,4-thiadiazol-2-yl]-;3056711-64-6;IC50;14.22 µM
CC(c1ccc(-c2ccccc2)c(F)c1)c1nnc(NC(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)s1;Urea, N-[4-chloro-3-(trifluoromethyl)phenyl]-N′-[5-[1-(2-fluoro[1,1′-biphenyl]-4-yl)ethyl]-1,3,4-thiadiazol-2-yl]-;3056711-64-6;IC50;46.61 µM
CC(c1ccc(-c2ccccc2)c(F)c1)c1nnc(NC(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)s1;Urea, N-[4-chloro-3-(trifluoromethyl)phenyl]-N′-[5-[1-(2-fluoro[1,1′-biphenyl]-4-yl)ethyl]-1,3,4-thiadiazol-2-yl]-;3056711-64-6;IC50;53.86 µM
CC(c1ccc(-c2ccccc2)c(F)c1)c1nnc(NC(=O)Nc2ccc(Cl)c(Cl)c2)s1;Urea, N-(3,4-dichlorophenyl)-N′-[5-[1-(2-fluoro[1,1′-biphenyl]-4-yl)ethyl]-1,3,4-thiadiazol-2-yl]-;3056711-55-5;IC50;5.4 µM
CC(c1ccc(-c2ccccc2)c(F)c1)c1nnc(NC(=O)Nc2ccc(Cl)c(Cl)c2)s1;Urea, N-(3,4-dichlorophenyl)-N′-[5-[1-(2-fluoro[1,1′-biphenyl]-4-yl)ethyl]-1,3,4-thiadiazol-2-yl]-;3056711-55-5;IC50;16.12 µM
CC(c1ccc(-c2ccccc2)c(F)c1)c1nnc(NC(=O)Nc2ccc(Cl)c(Cl)c2)s1;Urea, N-(3,4-dichlorophenyl)-N′-[5-[1-(2-fluoro[1,1′-biphenyl]-4-yl)ethyl]-1,3,4-thiadiazol-2-yl]-;3056711-55-5;IC50;17.05 µM
CC(c1ccc(-c2ccccc2)c(F)c1)c1nnc(NC(=O)Nc2ccc(Cl)c(Cl)c2)s1;Urea, N-(3,4-dichlorophenyl)-N′-[5-[1-(2-fluoro[1,1′-biphenyl]-4-yl)ethyl]-1,3,4-thiadiazol-2-yl]-;3056711-55-5;IC50;17.45 µM
Cc1ccc(NC(=O)Nc2nnc(C(C)c3ccc(-c4ccccc4)c(F)c3)s2)cc1;Urea, N-[5-[1-(2-fluoro[1,1′-biphenyl]-4-yl)ethyl]-1,3,4-thiadiazol-2-yl]-N′-(4-methylphenyl)-;3056711-57-7;IC50;2.57 µM
Cc1ccc(NC(=O)Nc2nnc(C(C)c3ccc(-c4ccccc4)c(F)c3)s2)cc1;Urea, N-[5-[1-(2-fluoro[1,1′-biphenyl]-4-yl)ethyl]-1,3,4-thiadiazol-2-yl]-N′-(4-methylphenyl)-;3056711-57-7;IC50;12.3 µM
Cc1ccc(NC(=O)Nc2nnc(C(C)c3ccc(-c4ccccc4)c(F)c3)s2)cc1;Urea, N-[5-[1-(2-fluoro[1,1′-biphenyl]-4-yl)ethyl]-1,3,4-thiadiazol-2-yl]-N′-(4-methylphenyl)-;3056711-57-7;IC50;12.63 µM
Cc1ccc(NC(=O)Nc2nnc(C(C)c3ccc(-c4ccccc4)c(F)c3)s2)cc1;Urea, N-[5-[1-(2-fluoro[1,1′-biphenyl]-4-yl)ethyl]-1,3,4-thiadiazol-2-yl]-N′-(4-methylphenyl)-;3056711-57-7;IC50;73.8 µM
COc1cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc2c1;4H-1-Benzopyran-4-one, 5-hydroxy-2-(4-hydroxyphenyl)-7-methoxy-;437-64-9;IC50;> 100 mg/L
COc1ccc(NC(=O)Nc2nnc(C(C)c3ccc(-c4ccccc4)c(F)c3)s2)cc1;Urea, N-[5-[1-(2-fluoro[1,1′-biphenyl]-4-yl)ethyl]-1,3,4-thiadiazol-2-yl]-N′-(4-methoxyphenyl)-;3056711-59-9;IC50;1.83 µM
COc1ccc(NC(=O)Nc2nnc(C(C)c3ccc(-c4ccccc4)c(F)c3)s2)cc1;Urea, N-[5-[1-(2-fluoro[1,1′-biphenyl]-4-yl)ethyl]-1,3,4-thiadiazol-2-yl]-N′-(4-methoxyphenyl)-;3056711-59-9;IC50;21.99 µM
COc1ccc(NC(=O)Nc2nnc(C(C)c3ccc(-c4ccccc4)c(F)c3)s2)cc1;Urea, N-[5-[1-(2-fluoro[1,1′-biphenyl]-4-yl)ethyl]-1,3,4-thiadiazol-2-yl]-N′-(4-methoxyphenyl)-;3056711-59-9;IC50;25.54 µM
COc1ccc(NC(=O)Nc2nnc(C(C)c3ccc(-c4ccccc4)c(F)c3)s2)cc1;Urea, N-[5-[1-(2-fluoro[1,1′-biphenyl]-4-yl)ethyl]-1,3,4-thiadiazol-2-yl]-N′-(4-methoxyphenyl)-;3056711-59-9;IC50;86.89 µM
CC(c1ccc(-c2ccccc2)c(F)c1)c1nnc(NC(=O)Nc2ccc(F)cc2)s1;Urea, N-[5-[1-(2-fluoro[1,1′-biphenyl]-4-yl)ethyl]-1,3,4-thiadiazol-2-yl]-N′-(4-fluorophenyl)-;3056711-52-2;IC50;7.02 µM
CC(c1ccc(-c2ccccc2)c(F)c1)c1nnc(NC(=O)Nc2ccc(F)cc2)s1;Urea, N-[5-[1-(2-fluoro[1,1′-biphenyl]-4-yl)ethyl]-1,3,4-thiadiazol-2-yl]-N′-(4-fluorophenyl)-;3056711-52-2;IC50;29.96 µM
CC(c1ccc(-c2ccccc2)c(F)c1)c1nnc(NC(=O)Nc2ccc(F)cc2)s1;Urea, N-[5-[1-(2-fluoro[1,1′-biphenyl]-4-yl)ethyl]-1,3,4-thiadiazol-2-yl]-N′-(4-fluorophenyl)-;3056711-52-2;IC50;39.73 µM
CC(c1ccc(-c2ccccc2)c(F)c1)c1nnc(NC(=O)Nc2ccc(F)cc2)s1;Urea, N-[5-[1-(2-fluoro[1,1′-biphenyl]-4-yl)ethyl]-1,3,4-thiadiazol-2-yl]-N′-(4-fluorophenyl)-;3056711-52-2;IC50;68.48 µM
CC(c1ccc(-c2ccccc2)c(F)c1)c1nnc(NC(=O)Nc2cccc(C(F)(F)F)c2)s1;Urea, N-[5-[1-(2-fluoro[1,1′-biphenyl]-4-yl)ethyl]-1,3,4-thiadiazol-2-yl]-N′-[3-(trifluoromethyl)phenyl]-;3056711-62-4;IC50;2.91 µM
CC(c1ccc(-c2ccccc2)c(F)c1)c1nnc(NC(=O)Nc2cccc(C(F)(F)F)c2)s1;Urea, N-[5-[1-(2-fluoro[1,1′-biphenyl]-4-yl)ethyl]-1,3,4-thiadiazol-2-yl]-N′-[3-(trifluoromethyl)phenyl]-;3056711-62-4;IC50;7.08 µM
CC(c1ccc(-c2ccccc2)c(F)c1)c1nnc(NC(=O)Nc2cccc(C(F)(F)F)c2)s1;Urea, N-[5-[1-(2-fluoro[1,1′-biphenyl]-4-yl)ethyl]-1,3,4-thiadiazol-2-yl]-N′-[3-(trifluoromethyl)phenyl]-;3056711-62-4;IC50;14.11 µM
CC(c1ccc(-c2ccccc2)c(F)c1)c1nnc(NC(=O)Nc2cccc(C(F)(F)F)c2)s1;Urea, N-[5-[1-(2-fluoro[1,1′-biphenyl]-4-yl)ethyl]-1,3,4-thiadiazol-2-yl]-N′-[3-(trifluoromethyl)phenyl]-;3056711-62-4;IC50;19.01 µM
CC(c1ccc(-c2ccccc2)c(F)c1)c1nnc(NC(=O)Nc2ccccc2)s1;Urea, N-[5-[1-(2-fluoro[1,1′-biphenyl]-4-yl)ethyl]-1,3,4-thiadiazol-2-yl]-N′-phenyl-;3056711-56-6;IC50;20.55 µM
CC(c1ccc(-c2ccccc2)c(F)c1)c1nnc(NC(=O)Nc2ccccc2)s1;Urea, N-[5-[1-(2-fluoro[1,1′-biphenyl]-4-yl)ethyl]-1,3,4-thiadiazol-2-yl]-N′-phenyl-;3056711-56-6;IC50;24.13 µM
CC(c1ccc(-c2ccccc2)c(F)c1)c1nnc(NC(=O)Nc2ccccc2)s1;Urea, N-[5-[1-(2-fluoro[1,1′-biphenyl]-4-yl)ethyl]-1,3,4-thiadiazol-2-yl]-N′-phenyl-;3056711-56-6;IC50;66.69 µM
CC(c1ccc(-c2ccccc2)c(F)c1)c1nnc(NC(=O)Nc2ccccc2)s1;Urea, N-[5-[1-(2-fluoro[1,1′-biphenyl]-4-yl)ethyl]-1,3,4-thiadiazol-2-yl]-N′-phenyl-;3056711-56-6;IC50;90.23 µM
