SMILES;cas.index.name;cas.rn;Parameter;Value
O=[N+]([O-])c1ccc(O)c2ncccc12;8-Quinolinol, 5-nitro-;4008-48-4;IC50;4.77 µM
O=[N+]([O-])c1ccc(O)c2ncccc12;8-Quinolinol, 5-nitro-;4008-48-4;IC50;6.5 µM
O=[N+]([O-])c1ccc(O)c2ncccc12;8-Quinolinol, 5-nitro-;4008-48-4;IC50;15.5 µM
O=[N+]([O-])c1ccc(O)c2ncccc12;8-Quinolinol, 5-nitro-;4008-48-4;IC50;15.48 µM
CC(c1ccc(-c2ccccc2)c(F)c1)c1nnc(NC(=O)Nc2cccc(F)c2)s1;Urea, N-[5-[1-(2-fluoro[1,1′-biphenyl]-4-yl)ethyl]-1,3,4-thiadiazol-2-yl]-N′-(3-fluorophenyl)-;3056711-51-1;IC50;7.71 µM
CC(c1ccc(-c2ccccc2)c(F)c1)c1nnc(NC(=O)Nc2cccc(F)c2)s1;Urea, N-[5-[1-(2-fluoro[1,1′-biphenyl]-4-yl)ethyl]-1,3,4-thiadiazol-2-yl]-N′-(3-fluorophenyl)-;3056711-51-1;IC50;22.36 µM
CC(c1ccc(-c2ccccc2)c(F)c1)c1nnc(NC(=O)Nc2cccc(F)c2)s1;Urea, N-[5-[1-(2-fluoro[1,1′-biphenyl]-4-yl)ethyl]-1,3,4-thiadiazol-2-yl]-N′-(3-fluorophenyl)-;3056711-51-1;IC50;39.21 µM
CC(c1ccc(-c2ccccc2)c(F)c1)c1nnc(NC(=O)Nc2cccc(F)c2)s1;Urea, N-[5-[1-(2-fluoro[1,1′-biphenyl]-4-yl)ethyl]-1,3,4-thiadiazol-2-yl]-N′-(3-fluorophenyl)-;3056711-51-1;IC50;47.75 µM
CC(C)=CCc1c(O)ccc(C(=O)/C=C/c2ccc(O)cc2)c1O;2-Propen-1-one, 1-[2,4-dihydroxy-3-(3-methyl-2-buten-1-yl)phenyl]-3-(4-hydroxyphenyl)-, (2E)-;20784-50-3;IC50;2 mg/L
CC(c1ccc(-c2ccccc2)c(F)c1)c1nnc(NC(=O)Nc2cccc([N+](=O)[O-])c2)s1;Urea, N-[5-[1-(2-fluoro[1,1′-biphenyl]-4-yl)ethyl]-1,3,4-thiadiazol-2-yl]-N′-(3-nitrophenyl)-;3056711-60-2;IC50;3.74 µM
